id_code,sirna
HEPG2-08_1_B03,855
HEPG2-08_1_B04,710
HEPG2-08_1_B05,836
HEPG2-08_1_B06,249
HEPG2-08_1_B07,440
HEPG2-08_1_B08,304
HEPG2-08_1_B09,612
HEPG2-08_1_B10,638
HEPG2-08_1_B11,36
HEPG2-08_1_B12,994
HEPG2-08_1_B13,1107
HEPG2-08_1_B14,17
HEPG2-08_1_B15,833
HEPG2-08_1_B16,472
HEPG2-08_1_B17,596
HEPG2-08_1_B18,97
HEPG2-08_1_B19,725
HEPG2-08_1_B20,208
HEPG2-08_1_B21,493
HEPG2-08_1_B22,356
HEPG2-08_1_B23,498
HEPG2-08_1_C02,205
HEPG2-08_1_C04,619
HEPG2-08_1_C05,587
HEPG2-08_1_C06,976
HEPG2-08_1_C08,141
HEPG2-08_1_C09,524
HEPG2-08_1_C10,204
HEPG2-08_1_C12,344
HEPG2-08_1_C13,824
HEPG2-08_1_C14,106
HEPG2-08_1_C16,628
HEPG2-08_1_C17,1005
HEPG2-08_1_C18,243
HEPG2-08_1_C20,1081
HEPG2-08_1_C21,241
HEPG2-08_1_C23,36
HEPG2-08_1_D02,288
HEPG2-08_1_D03,14
HEPG2-08_1_D04,1069
HEPG2-08_1_D05,880
HEPG2-08_1_D06,261
HEPG2-08_1_D07,140
HEPG2-08_1_D08,698
HEPG2-08_1_D09,205
HEPG2-08_1_D10,635
HEPG2-08_1_D11,451
HEPG2-08_1_D12,260
HEPG2-08_1_D13,226
HEPG2-08_1_D14,79
HEPG2-08_1_D15,630
HEPG2-08_1_D16,193
HEPG2-08_1_D17,30
HEPG2-08_1_D18,985
HEPG2-08_1_D19,493
HEPG2-08_1_D20,872
HEPG2-08_1_D21,468
HEPG2-08_1_D22,1082
HEPG2-08_1_D23,602
HEPG2-08_1_E02,1036
HEPG2-08_1_E03,286
HEPG2-08_1_E04,297
HEPG2-08_1_E05,202
HEPG2-08_1_E06,998
HEPG2-08_1_E07,619
HEPG2-08_1_E08,518
HEPG2-08_1_E09,928
HEPG2-08_1_E10,367
HEPG2-08_1_E11,292
HEPG2-08_1_E12,451
HEPG2-08_1_E13,416
HEPG2-08_1_E14,139
HEPG2-08_1_E15,794
HEPG2-08_1_E16,354
HEPG2-08_1_E17,803
HEPG2-08_1_E18,1081
HEPG2-08_1_E19,854
HEPG2-08_1_E20,280
HEPG2-08_1_E21,374
HEPG2-08_1_E22,304
HEPG2-08_1_E23,247
HEPG2-08_1_F02,318
HEPG2-08_1_F04,1073
HEPG2-08_1_F05,288
HEPG2-08_1_F06,1072
HEPG2-08_1_F08,200
HEPG2-08_1_F09,509
HEPG2-08_1_F10,223
HEPG2-08_1_F12,374
HEPG2-08_1_F13,1038
HEPG2-08_1_F14,780
HEPG2-08_1_F16,1094
HEPG2-08_1_F17,16
HEPG2-08_1_F18,609
HEPG2-08_1_F20,199
HEPG2-08_1_F21,843
HEPG2-08_1_F23,850
HEPG2-08_1_G02,1107
HEPG2-08_1_G03,261
HEPG2-08_1_G04,14
HEPG2-08_1_G05,518
HEPG2-08_1_G06,741
HEPG2-08_1_G07,240
HEPG2-08_1_G08,1097
HEPG2-08_1_G09,925
HEPG2-08_1_G10,498
HEPG2-08_1_G11,58
HEPG2-08_1_G12,367
HEPG2-08_1_G13,227
HEPG2-08_1_G14,200
HEPG2-08_1_G15,1050
HEPG2-08_1_G16,427
HEPG2-08_1_G17,568
HEPG2-08_1_G18,251
HEPG2-08_1_G19,140
HEPG2-08_1_G20,143
HEPG2-08_1_G21,596
HEPG2-08_1_G22,440
HEPG2-08_1_G23,73
HEPG2-08_1_H02,208
HEPG2-08_1_H04,1075
HEPG2-08_1_H05,931
HEPG2-08_1_H06,725
HEPG2-08_1_H08,18
HEPG2-08_1_H09,997
HEPG2-08_1_H10,30
HEPG2-08_1_H12,137
HEPG2-08_1_H13,561
HEPG2-08_1_H14,50
HEPG2-08_1_H16,343
HEPG2-08_1_H17,728
HEPG2-08_1_H18,298
HEPG2-08_1_H20,1026
HEPG2-08_1_H21,161
HEPG2-08_1_H23,202
HEPG2-08_1_I02,841
HEPG2-08_1_I03,1037
HEPG2-08_1_I04,906
HEPG2-08_1_I05,596
HEPG2-08_1_I06,470
HEPG2-08_1_I07,288
HEPG2-08_1_I08,16
HEPG2-08_1_I09,675
HEPG2-08_1_I10,519
HEPG2-08_1_I11,862
HEPG2-08_1_I12,354
HEPG2-08_1_I13,9
HEPG2-08_1_I14,1011
HEPG2-08_1_I15,899
HEPG2-08_1_I16,568
HEPG2-08_1_I17,609
HEPG2-08_1_I18,524
HEPG2-08_1_I19,343
HEPG2-08_1_I20,249
HEPG2-08_1_I21,589
HEPG2-08_1_I22,13
HEPG2-08_1_I23,985
HEPG2-08_1_J02,378
HEPG2-08_1_J04,561
HEPG2-08_1_J05,711
HEPG2-08_1_J06,591
HEPG2-08_1_J08,1010
HEPG2-08_1_J09,656
HEPG2-08_1_J10,1004
HEPG2-08_1_J12,710
HEPG2-08_1_J13,354
HEPG2-08_1_J14,823
HEPG2-08_1_J16,720
HEPG2-08_1_J17,560
HEPG2-08_1_J18,82
HEPG2-08_1_J20,575
HEPG2-08_1_J21,23
HEPG2-08_1_J23,235
HEPG2-08_1_K02,1048
HEPG2-08_1_K03,540
HEPG2-08_1_K04,202
HEPG2-08_1_K05,288
HEPG2-08_1_K06,1022
HEPG2-08_1_K07,1054
HEPG2-08_1_K08,227
HEPG2-08_1_K09,812
HEPG2-08_1_K10,71
HEPG2-08_1_K11,426
HEPG2-08_1_K12,843
HEPG2-08_1_K13,509
HEPG2-08_1_K14,904
HEPG2-08_1_K15,524
HEPG2-08_1_K16,1061
HEPG2-08_1_K17,663
HEPG2-08_1_K18,18
HEPG2-08_1_K19,767
HEPG2-08_1_K20,116
HEPG2-08_1_K21,85
HEPG2-08_1_K22,247
HEPG2-08_1_K23,711
HEPG2-08_1_L02,872
HEPG2-08_1_L03,1022
HEPG2-08_1_L04,850
HEPG2-08_1_L05,110
HEPG2-08_1_L06,440
HEPG2-08_1_L07,1103
HEPG2-08_1_L08,110
HEPG2-08_1_L09,822
HEPG2-08_1_L10,522
HEPG2-08_1_L11,67
HEPG2-08_1_L12,331
HEPG2-08_1_L13,316
HEPG2-08_1_L14,69
HEPG2-08_1_L15,103
HEPG2-08_1_L16,468
HEPG2-08_1_L17,799
HEPG2-08_1_L18,226
HEPG2-08_1_L19,13
HEPG2-08_1_L20,441
HEPG2-08_1_L21,928
HEPG2-08_1_L22,292
HEPG2-08_1_L23,994
HEPG2-08_1_M02,297
HEPG2-08_1_M04,440
HEPG2-08_1_M05,328
HEPG2-08_1_M06,209
HEPG2-08_1_M08,823
HEPG2-08_1_M09,209
HEPG2-08_1_M10,930
HEPG2-08_1_M12,610
HEPG2-08_1_M13,306
HEPG2-08_1_M14,712
HEPG2-08_1_M16,746
HEPG2-08_1_M17,141
HEPG2-08_1_M18,531
HEPG2-08_1_M20,817
HEPG2-08_1_M21,150
HEPG2-08_1_M23,904
HEPG2-08_1_N02,712
HEPG2-08_1_N03,367
HEPG2-08_1_N04,878
HEPG2-08_1_N05,1069
HEPG2-08_1_N06,12
HEPG2-08_1_N07,260
HEPG2-08_1_N08,602
HEPG2-08_1_N09,794
HEPG2-08_1_N10,924
HEPG2-08_1_N11,609
HEPG2-08_1_N12,1103
HEPG2-08_1_N13,814
HEPG2-08_1_N14,846
HEPG2-08_1_N15,693
HEPG2-08_1_N16,948
HEPG2-08_1_N17,696
HEPG2-08_1_N18,973
HEPG2-08_1_N19,298
HEPG2-08_1_N20,710
HEPG2-08_1_N21,247
HEPG2-08_1_N22,68
HEPG2-08_1_N23,822
HEPG2-08_1_O02,264
HEPG2-08_1_O03,534
HEPG2-08_1_O04,833
HEPG2-08_1_O05,531
HEPG2-08_1_O06,814
HEPG2-08_1_O07,152
HEPG2-08_1_O08,958
HEPG2-08_1_O09,519
HEPG2-08_1_O10,526
HEPG2-08_1_O11,420
HEPG2-08_1_O12,979
HEPG2-08_1_O13,356
HEPG2-08_1_O14,1021
HEPG2-08_1_O15,925
HEPG2-08_1_O16,631
HEPG2-08_1_O17,455
HEPG2-08_1_O18,746
HEPG2-08_1_O19,872
HEPG2-08_1_O20,18
HEPG2-08_1_O21,792
HEPG2-08_1_O22,741
HEPG2-08_1_O23,602
HEPG2-08_2_B03,55
HEPG2-08_2_B04,400
HEPG2-08_2_B05,177
HEPG2-08_2_B06,26
HEPG2-08_2_B07,172
HEPG2-08_2_B08,89
HEPG2-08_2_B09,442
HEPG2-08_2_B10,385
HEPG2-08_2_B11,203
HEPG2-08_2_B12,366
HEPG2-08_2_B13,987
HEPG2-08_2_B14,1039
HEPG2-08_2_B15,379
HEPG2-08_2_B16,459
HEPG2-08_2_B17,506
HEPG2-08_2_B18,705
HEPG2-08_2_B19,921
HEPG2-08_2_B20,982
HEPG2-08_2_B21,320
HEPG2-08_2_B22,296
HEPG2-08_2_B23,102
HEPG2-08_2_C02,238
HEPG2-08_2_C04,266
HEPG2-08_2_C05,689
HEPG2-08_2_C06,1006
HEPG2-08_2_C08,974
HEPG2-08_2_C09,1013
HEPG2-08_2_C10,70
HEPG2-08_2_C12,847
HEPG2-08_2_C13,281
